Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Facundo Campazzo,PG,30,DEN,44,4,21.8,2.2,5.6,1.1,3.6,1.0,2.1,1.1,1.3,0.4,1.7,2.1,4.0,1.2,0.4,1.2,2.2,6.5
Vlatko Čančar,PF,24,DEN,14,1,10.9,1.6,2.8,0.5,0.9,1.1,1.9,0.6,0.9,0.4,1.2,1.6,0.9,0.1,0.2,0.6,0.9,4.3
Clint Capela,C,27,ATL,38,37,29.5,5.2,9.1,0.0,0.0,5.2,9.0,1.2,2.6,4.0,8.8,12.8,1.4,0.8,1.4,0.6,2.4,11.5
Vernon Carey Jr.,C,20,CHO,4,1,4.3,0.8,1.5,0.0,0.0,0.8,1.5,0.5,0.8,0.8,0.5,1.3,0.0,0.3,0.0,0.3,0.3,2.0
Jevon Carter,PG,26,BRK,35,1,11.3,1.0,3.2,0.7,2.3,0.3,0.9,0.1,0.1,0.2,1.2,1.4,0.9,0.4,0.2,0.5,1.0,2.7
Wendell Carter Jr.,C,22,ORL,39,38,29.1,5.1,10.2,1.3,3.7,3.8,6.4,2.0,2.9,2.1,8.0,10.1,2.6,0.7,0.7,1.6,2.7,13.4
Alex Caruso,SG,27,CHI,28,9,27.7,2.8,6.5,1.1,3.1,1.7,3.4,1.7,2.1,0.9,3.0,3.9,3.9,1.9,0.4,1.4,2.4,8.4
Willie Cauley-Stein,C,28,DAL,18,2,9.8,0.9,1.9,0.1,0.1,0.8,1.8,0.1,0.1,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9
Ahmad Caver,PG,25,IND,1,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Justin Champagnie,SF,20,TOR,27,0,8.9,1.0,2.2,0.3,0.8,0.7,1.4,0.3,0.3,1.3,0.9,2.3,0.3,0.3,0.1,0.2,1.1,2.7
Zylan Cheatham,SF,26,UTA,1,0,5.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Chiozza,PG,26,GSW,23,1,10.7,0.7,2.5,0.6,1.6,0.1,0.9,0.0,0.0,0.3,0.8,1.2,1.7,0.3,0.0,0.9,1.0,2.0
Marquese Chriss,PF,24,DAL,14,0,10.6,2.4,4.0,0.4,1.0,2.0,3.0,0.7,1.1,0.7,2.7,3.4,0.3,0.1,0.3,0.8,2.4,6.0
Josh Christopher,SG,20,HOU,39,2,15.9,2.6,5.6,0.7,2.1,1.8,3.5,1.0,1.3,0.7,1.3,2.0,1.6,0.8,0.2,1.5,1.1,6.9
Gary Clark,PF,27,NOP,13,1,10.5,1.1,2.6,1.0,2.3,0.1,0.3,0.2,0.3,0.5,1.8,2.3,0.4,0.2,0.2,0.3,0.2,3.3
Brandon Clarke,PF,25,MEM,34,1,18.4,4.2,6.5,0.1,0.5,4.1,5.9,1.2,1.8,1.9,3.2,5.1,1.4,0.4,1.1,0.5,1.6,9.8
Jordan Clarkson,SG,29,UTA,46,0,26.2,5.5,13.9,2.5,7.8,3.0,6.1,1.6,2.0,0.7,2.7,3.5,2.3,0.7,0.3,1.6,1.8,15.2
Nic Claxton,C,22,BRK,20,14,22.2,4.0,6.1,0.0,0.0,4.0,6.1,1.2,2.0,1.9,3.6,5.5,1.0,0.6,1.2,0.8,2.5,9.2
Amir Coffey,SG,24,LAC,35,13,20.3,2.3,5.0,1.2,3.1,1.1,1.8,1.3,1.4,0.4,2.5,2.9,1.6,0.5,0.2,0.4,1.2,7.0
John Collins,PF,24,ATL,41,41,32.1,6.4,11.9,1.3,3.1,5.0,8.7,2.9,3.6,1.8,6.1,7.9,2.0,0.6,1.1,1.2,3.2,17.0
Darren Collison,PG,34,LAL,3,0,12.3,0.7,2.3,0.0,1.0,0.7,1.3,0.0,0.0,0.0,1.3,1.3,0.7,0.3,0.0,0.3,1.7,1.3
Mike Conley,PG,34,UTA,42,42,28.5,4.9,10.7,2.5,5.8,2.4,4.9,1.8,2.2,0.6,2.4,3.0,5.2,1.1,0.3,1.6,1.7,14.0
Pat Connaughton,SG,29,MIL,46,16,27.6,3.8,8.0,2.3,5.8,1.4,2.2,0.7,0.8,0.7,3.8,4.5,1.4,1.0,0.3,0.7,1.3,10.5
Tyler Cook,PF,24,CHI,11,2,13.3,1.5,2.4,0.0,0.0,1.5,2.4,1.3,1.7,0.9,2.5,3.4,0.3,0.4,0.3,0.5,2.0,4.2
Sharife Cooper,PG,20,ATL,10,0,3.5,0.3,1.4,0.1,0.6,0.2,0.8,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.1,0.7
Petr Cornelie,PF,26,DEN,13,0,2.9,0.4,1.2,0.1,0.6,0.3,0.5,0.2,0.3,0.5,0.5,1.1,0.2,0.1,0.1,0.3,0.5,1.1
DeMarcus Cousins,C,31,TOT,18,5,16.6,3.1,6.9,0.7,2.8,2.4,4.1,1.7,2.2,1.4,4.4,5.8,1.1,0.9,0.4,0.9,2.8,8.7
DeMarcus Cousins,C,31,MIL,17,5,16.9,3.2,6.9,0.8,2.8,2.5,4.1,1.8,2.2,1.4,4.4,5.8,1.1,0.9,0.5,0.9,2.7,9.1
DeMarcus Cousins,C,31,DEN,1,0,12.0,1.0,7.0,0.0,3.0,1.0,4.0,0.0,2.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,4.0,2.0
Robert Covington,PF,31,POR,43,35,29.2,2.7,7.0,1.7,4.8,1.0,2.2,0.5,0.7,0.8,4.7,5.6,1.2,1.4,1.3,1.1,2.6,7.7
Torrey Craig,SF,31,IND,42,5,18.2,2.3,4.9,0.7,2.4,1.5,2.5,0.6,0.7,1.2,2.5,3.7,1.1,0.5,0.3,0.7,1.7,5.9
Jae Crowder,PF,31,PHO,39,39,28.1,3.2,7.8,1.9,5.3,1.3,2.6,0.9,1.2,0.3,4.5,4.9,1.4,1.3,0.5,0.9,2.4,9.3
Jarrett Culver,SG,22,MEM,22,0,10.2,1.6,3.9,0.4,1.3,1.3,2.6,0.4,0.9,0.4,1.3,1.7,1.1,0.6,0.1,0.5,1.2,4.0
Jarron Cumberland,SG,24,POR,3,0,4.0,0.3,0.7,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.7,1.0,0.3,0.0,0.0,0.0,0.7,0.7
Cade Cunningham,PG,20,DET,37,37,32.1,5.9,14.7,2.1,6.4,3.9,8.4,1.8,2.1,0.9,4.5,5.4,5.2,1.3,0.6,3.6,2.9,15.7
Seth Curry,SG,31,PHI,40,40,34.8,6.0,11.8,2.3,5.5,3.7,6.3,1.6,1.8,0.4,3.0,3.4,4.0,0.8,0.2,1.9,2.2,15.8
Stephen Curry,PG,33,GSW,43,43,34.7,8.4,20.1,4.8,12.8,3.6,7.3,4.4,4.8,0.6,4.7,5.3,6.2,1.4,0.5,3.2,2.0,26.0
Anthony Davis,C,28,LAL,27,27,35.4,9.3,17.9,0.4,2.1,8.9,15.8,4.3,6.0,2.7,7.1,9.9,2.9,1.2,2.0,2.2,2.3,23.3
Ed Davis,C,32,CLE,13,2,8.7,0.7,0.9,0.0,0.0,0.7,0.9,0.1,0.5,0.4,2.5,2.8,0.1,0.2,0.5,0.2,1.3,1.5
Terence Davis,SG,24,SAC,29,10,18.2,3.8,9.0,1.7,5.1,2.2,4.0,1.2,1.4,0.4,2.8,3.2,1.3,0.9,0.4,1.1,2.4,10.5
Gabriel Deck,PF,26,OKC,7,0,8.0,1.1,2.0,0.3,0.6,0.9,1.4,0.0,0.0,0.1,0.7,0.9,0.7,0.1,0.0,0.3,0.3,2.6
Dewayne Dedmon,C,32,MIA,40,15,16.8,2.7,4.5,0.3,0.5,2.4,3.9,1.1,1.4,1.9,4.3,6.2,0.8,0.4,0.5,1.0,2.2,6.7
Sam Dekker,PF,27,TOR,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javin DeLaurier,C,23,MIL,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
DeMar DeRozan,PF,32,CHI,42,42,34.8,9.5,19.1,0.6,1.8,8.9,17.4,6.8,7.9,0.8,4.2,5.0,4.8,0.8,0.4,2.2,2.2,26.3
Mamadi Diakite,PF,25,OKC,6,0,12.5,1.5,3.0,0.0,0.0,1.5,3.0,0.0,0.3,1.0,2.5,3.5,0.0,0.3,0.3,0.5,2.2,3.0
Cheick Diallo,C,25,DET,3,0,10.3,1.0,2.7,0.0,0.0,1.0,2.7,1.7,2.0,1.3,2.7,4.0,0.0,0.3,0.0,0.3,2.0,3.7
Hamidou Diallo,SG,23,DET,39,22,22.5,4.5,8.7,0.4,1.5,4.1,7.2,1.4,2.2,1.1,3.5,4.6,1.3,1.2,0.4,1.1,2.5,10.7
Gorgui Dieng,C,32,ATL,32,3,9.7,1.2,2.6,0.6,1.4,0.6,1.2,0.5,0.7,0.9,2.3,3.2,0.9,0.3,0.4,0.5,1.4,3.6
Spencer Dinwiddie,PG,28,WAS,38,38,30.5,4.5,11.5,1.7,5.3,2.8,6.1,2.8,3.4,0.8,3.8,4.5,5.8,0.6,0.2,1.6,2.4,13.5
Donte DiVincenzo,SG,25,MIL,10,0,18.9,1.8,6.7,1.3,4.5,0.5,2.2,1.9,2.1,1.3,2.9,4.2,1.5,0.6,0.3,1.3,1.7,6.8
Luka Dončić,PG,22,DAL,32,32,35.2,9.2,21.0,2.3,7.9,6.9,13.1,4.9,6.5,0.8,8.0,8.8,8.7,1.2,0.5,4.6,2.3,25.6
Luguentz Dort,SF,22,OKC,42,42,32.2,5.5,13.8,2.4,7.5,3.0,6.3,2.8,3.3,0.6,3.3,3.9,1.6,0.9,0.4,1.6,2.9,16.1
Ayo Dosunmu,SG,22,CHI,41,7,22.2,2.9,5.3,0.8,1.9,2.0,3.5,0.6,1.0,0.4,2.1,2.5,1.8,0.5,0.4,1.1,1.9,7.1
Damyean Dotson,SG,27,NYK,2,0,10.5,1.0,2.0,0.0,0.5,1.0,1.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0
Devon Dotson,PG,22,CHI,11,0,7.7,1.0,2.1,0.2,0.8,0.8,1.3,0.5,0.8,0.1,0.7,0.8,1.4,0.1,0.0,0.5,1.0,2.6
Sekou Doumbouya,PF,21,LAL,2,0,8.0,2.5,4.0,0.5,1.0,2.0,3.0,1.5,2.0,1.0,2.0,3.0,0.0,1.5,1.0,1.0,0.5,7.0
Jeff Dowtin,PG,24,TOT,5,0,6.2,0.6,1.4,0.0,0.4,0.6,1.0,0.0,0.0,0.2,1.2,1.4,0.6,0.0,0.2,0.2,0.4,1.2
Jeff Dowtin,PG,24,GSW,4,0,7.0,0.8,1.5,0.0,0.3,0.8,1.3,0.0,0.0,0.3,1.5,1.8,0.8,0.0,0.3,0.3,0.5,1.5
Jeff Dowtin,PG,24,MIL,1,0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Dozier,SG,25,DEN,18,0,18.9,2.0,5.5,0.8,2.7,1.2,2.8,0.6,0.7,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4
Goran Dragić,PG,35,TOR,5,2,18.0,2.6,6.8,0.8,2.8,1.8,4.0,2.0,2.0,0.4,2.4,2.8,1.8,1.0,0.2,0.2,1.6,8.0
Andre Drummond,C,28,PHI,41,11,18.5,2.6,5.0,0.0,0.0,2.6,4.9,1.0,1.9,2.8,6.0,8.8,1.8,1.1,1.0,1.7,2.5,6.3
Chris Duarte,SG,24,IND,39,27,29.1,5.2,11.8,1.8,5.1,3.4,6.7,1.3,1.9,0.7,3.4,4.1,2.3,1.1,0.2,1.7,1.7,13.6
David Duke Jr.,PG,22,BRK,14,7,17.4,2.1,5.6,0.5,1.8,1.6,3.8,1.0,1.2,1.9,2.1,4.1,0.9,0.5,0.4,0.6,2.0,5.6
Kevin Durant,PF,33,BRK,36,36,36.5,10.5,20.3,1.9,5.0,8.7,15.3,6.3,7.1,0.6,6.9,7.4,5.8,0.8,0.9,3.0,1.9,29.3
Jaime Echenique,C,24,WAS,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Edwards,SG,20,MIN,40,40,35.0,8.1,18.2,3.3,8.7,4.8,9.5,2.8,3.5,1.0,4.1,5.1,3.6,1.5,0.7,3.1,2.3,22.2
Kessler Edwards,SF,21,BRK,15,8,25.8,3.3,7.3,1.5,3.6,1.8,3.7,0.1,0.1,1.2,3.0,4.2,0.8,0.9,0.7,1.0,2.1,8.3
Rob Edwards,SG,25,OKC,2,0,5.5,0.5,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.5,0.0,1.5
CJ Elleby,SF,21,POR,26,0,10.9,1.4,3.2,0.5,1.5,0.9,1.7,0.5,0.6,0.6,1.5,2.0,0.7,0.5,0.1,0.4,1.3,3.8
Wayne Ellington,SG,34,LAL,31,8,19.8,2.1,5.3,1.9,4.9,0.3,0.5,0.1,0.2,0.2,1.4,1.6,0.7,0.5,0.1,0.5,1.0,6.3
Joel Embiid,C,27,PHI,35,35,32.8,9.3,18.7,1.3,3.4,8.0,15.4,8.7,10.6,2.0,8.7,10.7,4.3,1.0,1.4,2.9,2.6,28.7
James Ennis III,SF,31,TOT,7,0,8.0,1.6,3.4,0.4,1.1,1.1,2.3,0.6,0.7,0.7,1.0,1.7,0.4,0.3,0.3,0.3,0.7,4.1
James Ennis III,SF,31,BRK,2,0,7.0,1.0,3.5,0.5,1.0,0.5,2.5,0.0,0.0,1.0,1.5,2.5,0.0,0.5,0.5,0.0,0.0,2.5
James Ennis III,SF,31,LAC,2,0,14.0,3.5,5.5,1.0,2.0,2.5,3.5,2.0,2.0,1.0,1.5,2.5,0.0,0.5,0.5,0.5,2.0,10.0
James Ennis III,SF,31,DEN,3,0,4.7,0.7,2.0,0.0,0.7,0.7,1.3,0.0,0.3,0.3,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.3
Drew Eubanks,C,24,SAS,42,8,12.2,1.6,3.2,0.0,0.1,1.6,3.0,1.3,1.7,1.2,2.7,3.9,1.0,0.3,0.6,1.0,1.3,4.5
Tacko Fall,C,26,CLE,11,1,5.4,0.5,1.1,0.0,0.0,0.5,1.1,0.2,0.6,0.6,1.5,2.1,0.2,0.0,0.5,0.3,0.3,1.1
Derrick Favors,C,30,OKC,31,13,16.0,2.4,4.7,0.1,0.4,2.3,4.4,0.3,0.6,1.5,3.2,4.7,0.8,0.4,0.2,0.2,1.5,5.1
Bruno Fernando,C,23,BOS,14,0,2.7,0.3,0.4,0.0,0.0,0.3,0.4,0.1,0.2,0.2,0.4,0.6,0.1,0.0,0.1,0.4,0.4,0.7
Dorian Finney-Smith,PF,28,DAL,46,46,32.2,3.8,8.6,1.9,5.1,1.9,3.4,0.8,1.2,1.6,3.3,4.9,2.0,1.2,0.5,1.0,2.3,10.3
Malik Fitts,PF,24,UTA,7,0,5.0,0.3,1.3,0.3,0.6,0.0,0.7,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,0.3,0.4,0.9
Malachi Flynn,PG,23,TOR,27,1,8.6,1.1,3.2,0.4,1.6,0.7,1.6,0.1,0.3,0.2,0.8,1.0,0.9,0.4,0.1,0.3,0.9,2.8
Bryn Forbes,SG,28,TOT,42,1,17.0,3.2,7.6,1.6,3.8,1.7,3.8,1.1,1.2,0.1,1.4,1.5,1.0,0.4,0.1,0.8,1.2,9.1
Bryn Forbes,SG,28,SAS,40,1,16.9,3.2,7.4,1.6,3.8,1.6,3.6,1.1,1.2,0.1,1.5,1.6,1.0,0.4,0.1,0.8,1.1,9.1
Bryn Forbes,SG,28,DEN,2,0,20.0,4.0,11.0,1.5,4.0,2.5,7.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,4.0,10.5
Aleem Ford,SF,24,ORL,5,0,14.8,1.2,4.0,0.4,3.0,0.8,1.0,0.0,0.0,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8
Trent Forrest,PG,23,UTA,36,2,9.4,0.7,1.4,0.0,0.1,0.7,1.2,0.5,0.7,0.3,1.2,1.5,1.1,0.3,0.1,0.7,0.5,1.9
Evan Fournier,SG,29,NYK,45,45,29.0,5.0,11.8,2.7,7.0,2.2,4.9,1.0,1.4,0.5,2.4,2.9,1.8,0.9,0.2,1.3,1.9,13.7
De'Aaron Fox,PG,24,SAC,43,43,34.1,7.9,17.2,0.9,3.7,7.0,13.5,4.4,5.9,0.5,3.3,3.8,5.2,1.2,0.4,2.8,2.8,21.0
Tim Frazier,PG,31,ORL,10,3,20.0,1.3,4.3,0.6,1.7,0.7,2.6,0.5,0.9,0.5,1.4,1.9,3.3,0.3,0.1,1.3,2.4,3.7
Enes Freedom,C,29,BOS,31,1,12.4,1.5,2.8,0.0,0.1,1.5,2.7,0.7,0.8,1.8,2.8,4.6,0.2,0.2,0.5,0.5,1.2,3.8
Wenyen Gabriel,PF,24,TOT,7,0,6.7,0.7,1.9,0.3,0.7,0.4,1.1,0.3,0.6,0.7,1.4,2.1,0.3,0.1,0.3,0.4,1.6,2.0
Wenyen Gabriel,PF,24,BRK,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wenyen Gabriel,PF,24,LAC,6,0,7.7,0.8,2.2,0.3,0.8,0.5,1.3,0.3,0.7,0.8,1.5,2.3,0.3,0.2,0.3,0.5,1.8,2.3
Daniel Gafford,C,23,WAS,44,44,21.4,3.9,5.6,0.0,0.0,3.9,5.6,1.3,1.8,2.2,4.0,6.2,1.0,0.4,1.6,0.9,2.4,9.1
Danilo Gallinari,PF,33,ATL,36,1,23.1,3.3,8.0,1.7,4.2,1.7,3.8,2.1,2.3,0.6,3.8,4.3,1.4,0.4,0.2,0.6,1.4,10.4
Langston Galloway,SG,30,TOT,7,0,15.3,0.9,3.7,0.3,2.3,0.6,1.4,0.0,0.0,0.4,2.1,2.6,1.7,0.1,0.0,0.9,1.0,2.0
Langston Galloway,SG,30,BRK,4,0,14.5,1.3,3.3,0.5,2.0,0.8,1.3,0.0,0.0,0.3,1.8,2.0,1.3,0.0,0.0,1.3,1.3,3.0
Langston Galloway,SG,30,MIL,3,0,16.3,0.3,4.3,0.0,2.7,0.3,1.7,0.0,0.0,0.7,2.7,3.3,2.3,0.3,0.0,0.3,0.7,0.7
Darius Garland,PG,22,CLE,41,41,34.8,7.5,16.0,2.5,6.8,5.0,9.2,2.3,2.5,0.6,2.8,3.3,8.1,1.2,0.1,3.7,1.8,19.8
Marcus Garrett,SG,23,MIA,12,0,10.7,0.4,1.8,0.1,0.3,0.3,1.4,0.2,0.4,0.8,1.2,1.9,0.6,0.4,0.3,0.2,1.3,1.1
Usman Garuba,PF,19,HOU,15,0,7.0,0.5,1.6,0.1,0.9,0.4,0.7,0.1,0.1,0.6,1.7,2.3,0.5,0.5,0.4,0.2,0.6,1.3
Luka Garza,C,23,DET,27,5,12.1,1.9,4.3,0.5,1.5,1.4,2.9,1.0,1.6,1.7,1.3,3.1,0.6,0.3,0.1,0.6,1.7,5.3
Rudy Gay,PF,35,UTA,29,0,19.8,3.1,7.4,1.6,4.3,1.6,3.1,1.3,1.6,1.0,3.7,4.7,1.1,0.6,0.3,0.7,1.9,9.2
Paul George,SF,31,LAC,26,26,35.5,9.0,21.4,2.7,8.3,6.3,13.0,4.0,4.5,0.4,6.7,7.1,5.5,2.0,0.4,4.2,2.5,24.7
Taj Gibson,C,36,NYK,30,3,18.7,1.4,2.8,0.1,0.5,1.3,2.3,0.6,0.9,1.6,2.8,4.4,0.7,0.4,0.9,0.7,2.7,3.6
Josh Giddey,SG,19,OKC,41,41,30.8,4.8,11.9,1.1,4.0,3.7,7.9,0.8,1.2,1.7,5.7,7.4,6.2,1.0,0.4,2.9,1.7,11.5
